"dataset","run_type","omitted_patient","n_pairs","n_tested_genes","pathway","size","ES","NES","nominal_P","log2err","leadingEdge"
"GSE274546","Leave-one-patient-out","GSE274546_SN12",44,17857,"Miller_Microglial_Inflammatory_raw_top20",19,0.606174994710854,1.86460619803191,0.00172795456905932,0.45505986738723,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;PDK4;FOLR2;SIGLEC8;KLF2;BHLHE41;NLRP3;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_TK01",44,17852,"Miller_Microglial_Inflammatory_raw_top20",19,0.607901847772204,1.81771557835988,0.00295714152996236,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_TK02",44,17915,"Miller_Microglial_Inflammatory_raw_top20",19,0.554759068707564,1.6634092672386,0.00964661305972168,0.380730400722792,"CCL3;SGK1;CCL4;CH25H;RHOB;PDK4;KLF6;FOLR2;SIGLEC8;KLF2;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_TK03",44,17851,"Miller_Microglial_Inflammatory_raw_top20",19,0.597720285229629,1.8003101260711,0.00413467655736618,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_TK04",44,17832,"Miller_Microglial_Inflammatory_raw_top20",19,0.55855902498348,1.64781277146867,0.0109182166026102,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;PDK4;KLF6;FOLR2;SIGLEC8;NLRP3;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_TK05",44,17848,"Miller_Microglial_Inflammatory_raw_top20",19,0.617142252885961,1.85037606472975,0.00119321943404576,0.45505986738723,"CCL3;SGK1;CCL4;CH25H;RHOB;SIGLEC8;FOLR2;PDK4;KLF6;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_TK07",44,17830,"Miller_Microglial_Inflammatory_raw_top20",19,0.592088203080124,1.76372703183609,0.00402117703528599,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;PDK4;SIGLEC8;FOLR2"
"GSE274546","Leave-one-patient-out","GSE274546_TK08",44,17855,"Miller_Microglial_Inflammatory_raw_top20",19,0.606501347513907,1.84428043062577,0.00589524756109021,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;KLF6;SIGLEC8;PDK4;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_TK11",44,17915,"Miller_Microglial_Inflammatory_raw_top20",19,0.599910820415,1.78751198385236,0.00307109411465935,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;KLF6;FOLR2;PDK4;SIGLEC8;JUN;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_TK12",44,17747,"Miller_Microglial_Inflammatory_raw_top20",19,0.639185664236964,1.87801803200433,0.000809559570636839,0.477270815362862,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_TK13",44,17952,"Miller_Microglial_Inflammatory_raw_top20",19,0.576752611889599,1.72619959272334,0.00820292941443932,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;SIGLEC8;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_TK14",44,17794,"Miller_Microglial_Inflammatory_raw_top20",19,0.606621883275795,1.80930567666405,0.00202201503441228,0.431707695803346,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8;BHLHE41;KLF2"
