gene,rank_GSE174554,rank_stat_GSE174554,program_GSE174554,rank_GSE274546,rank_stat_GSE274546,program_GSE274546,miller_raw20,density,shared_leading_edge,labelled,display_role,display_label
SEC24D,4543,0.1893476823596423,False,6499,0.3416061029428529,False,False,3.218875824868201,False,False,transcriptome_background,
AAMP,4544,0.1892871312801916,False,17552,-2.465458975792096,False,False,1.3862943611198906,False,False,transcriptome_background,
ASB1,4545,0.1891688439639495,False,13514,-0.8485083601646227,False,False,3.044522437723423,False,False,transcriptome_background,
C19orf66,4546,0.189132347007699,False,10324,-0.2885699510911508,False,False,3.4011973816621555,False,False,transcriptome_background,
ATIC,4547,0.1887450561330656,False,12709,-0.6947007690007165,False,False,2.833213344056216,False,False,transcriptome_background,
FASTK,4548,0.1887109696662353,False,10563,-0.3287951453734848,False,False,3.4011973816621555,False,False,transcriptome_background,
AGO3,4549,0.1884875855921206,False,1218,1.8496743654205137,False,False,2.3978952727983707,False,False,transcriptome_background,
SEC24C,4550,0.1881148582026781,False,5757,0.4830335114881906,False,False,3.218875824868201,False,False,transcriptome_background,
MYL6,4551,0.1880244461515866,False,17724,-2.7988303830140207,False,False,1.6094379124341005,False,False,transcriptome_background,
MPHOSPH9,4552,0.1878149378487946,False,17740,-2.8486737344576913,False,False,1.6094379124341005,False,False,transcriptome_background,
WDR70,4553,0.187729170056435,False,3962,0.8549803478072008,False,False,3.4339872044851463,False,False,transcriptome_background,
TM2D2,4554,0.1875143115584839,False,3158,1.065527489343161,False,False,2.995732273553991,False,False,transcriptome_background,
ZNF573,4555,0.1873882639683987,False,9845,-0.2105582652697376,False,False,3.49650756146648,False,False,transcriptome_background,
LMBR1L,4556,0.1872701687635387,False,4130,0.8209051251082149,False,False,3.4339872044851463,False,False,transcriptome_background,
CCNT2,4557,0.1871060253689565,False,4568,0.71879404396044,False,False,2.833213344056216,False,False,transcriptome_background,
NONO,4559,0.1868396334001959,False,11927,-0.5516404374158407,False,False,3.091042453358316,False,False,transcriptome_background,
KSR1,4560,0.1867617605316008,False,4621,0.7070562106758684,False,False,2.833213344056216,False,False,transcriptome_background,
ABHD8,4561,0.1865719283211531,False,16127,-1.5441609999955217,False,False,2.5649493574615367,False,False,transcriptome_background,
PNPLA3,4562,0.1863142933208968,False,3487,0.9806768713184904,False,False,2.6390573296152584,False,False,transcriptome_background,
UBE2O,4563,0.1857503301503181,False,12817,-0.7121401606285422,False,False,2.833213344056216,False,False,transcriptome_background,
ANKRD17,4564,0.1852997048578434,False,1230,1.8412943900685137,False,False,2.3978952727983707,False,False,transcriptome_background,
ZNF331,4565,0.1850255198141467,False,733,2.2211001720210573,False,False,1.6094379124341005,False,False,transcriptome_background,
PUS10,4566,0.1849774359137503,False,9356,-0.1316174015219705,False,False,3.218875824868201,False,False,transcriptome_background,
TMEM164,4567,0.1845815445537502,False,3683,0.9261121697011626,False,False,2.6390573296152584,False,False,transcriptome_background,
ZNF18,4568,0.1839819045575944,False,10331,-0.2898300564417516,False,False,3.4011973816621555,False,False,transcriptome_background,
NPC1,4569,0.1839626971802098,False,2292,1.330445135694614,False,False,2.70805020110221,False,False,transcriptome_background,
NANS,4570,0.1835563539664623,False,4371,0.7632217018700255,False,False,3.4339872044851463,False,False,transcriptome_background,
LYPLAL1,4571,0.1834517410866819,False,4166,0.813050985739451,False,False,3.4339872044851463,False,False,transcriptome_background,
FRS2,4572,0.1834255004960864,False,1818,1.5342907232246272,False,False,2.6390573296152584,False,False,transcriptome_background,
PACSIN2,4573,0.183277706040902,False,8330,0.0358248501635331,False,False,3.4657359027997265,False,False,transcriptome_background,
ZNF761,4574,0.1829271223293251,False,13136,-0.7739211824636892,False,False,2.833213344056216,False,False,transcriptome_background,
ROCK1,4575,0.1824628379049503,False,5679,0.4972359294296632,False,False,3.218875824868201,False,False,transcriptome_background,
TRMT1L,4576,0.1823973685699588,False,17045,-2.0052723563186574,False,False,2.0794415416798357,False,False,transcriptome_background,
MEIS2,4577,0.1820860277190888,False,2965,1.116333119604798,False,False,3.044522437723423,False,False,transcriptome_background,
B3GALNT1,4578,0.1820783747924217,False,1122,1.9036433409891704,False,False,1.3862943611198906,False,False,transcriptome_background,
IFIT3,4580,0.1814823459802195,False,4042,0.8380604519594043,False,False,3.4339872044851463,False,False,transcriptome_background,
TMEM9B-AS1,4581,0.1809145526979314,False,8320,0.0371922686511256,False,False,3.4657359027997265,False,False,transcriptome_background,
FLG-AS1,4583,0.1803947037875413,False,1317,1.7835727593800763,False,False,2.3978952727983707,False,False,transcriptome_background,
PPP3CB,4584,0.1803417207037287,False,5748,0.4839351003436711,False,False,3.218875824868201,False,False,transcriptome_background,
POLM,4585,0.1800950836182989,False,12341,-0.6240883610777083,False,False,3.091042453358316,False,False,transcriptome_background,
SH2D3C,4586,0.1800387054336744,False,15516,-1.3380253882358362,False,False,2.9444389791664403,False,False,transcriptome_background,
RNF19A,4587,0.1797337298997569,False,9641,-0.1802536907231497,False,False,3.49650756146648,False,False,transcriptome_background,
PPM1E,4588,0.1789522488377316,False,2485,1.2585813628532363,False,False,2.70805020110221,False,False,transcriptome_background,
PI4KA,4589,0.1783948020610727,False,2384,1.2910010697907923,False,False,2.70805020110221,False,False,transcriptome_background,
HADH,4590,0.1780932644020264,False,13984,-0.9469879548831902,False,False,3.1354942159291497,False,False,transcriptome_background,
C1orf61,4591,0.1780544148966927,False,15546,-1.3498859639439882,False,False,2.9444389791664403,False,False,transcriptome_background,
HS3ST2,4592,0.1776742181663214,False,276,2.8437619183535636,False,False,1.3862943611198906,False,False,transcriptome_background,
CMPK1,4593,0.1776382650064937,False,15990,-1.4952104579716765,False,False,2.4849066497880004,False,False,transcriptome_background,
BLOC1S5-TXNDC5,4594,0.1773194877861446,False,13975,-0.9449866829860872,False,False,3.1354942159291497,False,False,transcriptome_background,
STYX,4595,0.1769086421002787,False,10220,-0.2713898136703515,False,False,3.49650756146648,False,False,transcriptome_background,
AGRN,4596,0.1768478977858156,False,1477,1.7123030114758395,False,False,2.302585092994046,False,False,transcriptome_background,
MRPS25,4597,0.1762654181851548,False,10060,-0.247545175497992,False,False,3.49650756146648,False,False,transcriptome_background,
PRR3,4598,0.1758388718593704,False,14000,-0.9502483547007924,False,False,3.1354942159291497,False,False,transcriptome_background,
EP400,4599,0.1757296413197463,False,6016,0.4345150405778079,False,False,3.258096538021482,False,False,transcriptome_background,
ZNF529-AS1,4600,0.1756623124988169,False,8800,-0.0404924296376483,False,False,3.218875824868201,False,False,transcriptome_background,
AASDHPPT,4601,0.175642206909784,False,3432,0.9971946367020256,False,False,2.995732273553991,False,False,transcriptome_background,
FAM98B,4602,0.1756111895054523,False,12247,-0.6081401877905661,False,False,3.091042453358316,False,False,transcriptome_background,
CWC22,4603,0.1756101511532719,False,15798,-1.4285345452333276,False,False,2.4849066497880004,False,False,transcriptome_background,
RPS16,4605,0.1752205646553018,False,17575,-2.50130437565144,False,False,1.3862943611198906,False,False,transcriptome_background,
PTPRO,4606,0.1751874711476463,False,12629,-0.6770024265998225,False,False,2.833213344056216,False,False,transcriptome_background,
TOX,4607,0.1749549678095155,False,9986,-0.235225534343257,False,False,3.49650756146648,False,False,transcriptome_background,
LINC01242,4608,0.1749358689181161,False,10910,-0.3860178741069978,False,False,3.4011973816621555,False,False,transcriptome_background,
