patient,gene,Primary,Recurrent,delta_log2_abundance,n_pairs_gene,n_recurrence_up_gene,logFC,ci_low,ci_high,P.Value,adj.P.Val,significant,y_base,y_jitter
KNCC_GBM0033,GSTM3,-0.7304118511716943,0.4387301397159133,1.1691419908876075,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,7.956113299650969
KNCC_GBM0033,ITM2C,-0.3049640602720997,0.068843110921844,0.3738071711939437,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.113022094794031
KNCC_GBM0033,JUN,0.5450002477874164,0.2703408313562325,-0.2746594164311839,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.895024682098864
KNCC_GBM0033,P2RY12,-0.559919061408688,0.2973074019351569,0.8572264633438449,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.9619918496414714
KNCC_GBM0033,RHOB,-0.8460337437911947,0.6493685348946449,1.4954022786858396,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.943954094199228
KNCC_GBM0033,SIGLEC8,-0.0434785252692339,0.0459811799311871,0.089459705200421,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,3.950249380247847
KNCC_GBM0033,USP53,0.0538595862224535,-0.1911944364832673,-0.2450540227057208,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.9526240417813325
KNCC_GBM0034,CTTNBP2,0.3448552874711681,0.2760853987172363,-0.06876988875393181,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.868937794412691
KNCC_GBM0034,FOLR2,-0.0940534955401238,-0.3113962539288368,-0.217342758388713,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.140273632240742
KNCC_GBM0034,GSTM3,-0.3708436469213882,-0.0793047283526732,0.291538918568715,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.021275970817117
KNCC_GBM0034,ITM2C,-0.1318224419331253,0.1659390086726927,0.29776145060581805,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,4.999250005170047
KNCC_GBM0034,JUN,-0.1507739533149632,0.0290618336496148,0.17983578696457803,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.9500675119842232
KNCC_GBM0034,P2RY12,0.5320480210036136,-0.0357433358450031,-0.5677913568486167,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.186016558206323
KNCC_GBM0034,RHOB,0.0537974979739633,0.662748643378931,0.6089511454049678,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.806972456368761
KNCC_GBM0034,SIGLEC8,0.085205209241917,0.1264155276486537,0.04121031840673671,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,4.016825061075204
KNCC_GBM0034,USP53,-0.1283242299386294,-0.2720266989593931,-0.14370246902076367,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,2.02334243280283
KNCC_GBM0035,CTTNBP2,0.0965105399419254,0.1170116558984291,0.020501115956503696,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.852766285302524
KNCC_GBM0035,FOLR2,-0.5919831667976586,-0.1737873368104327,0.41819582998722593,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.180589411551935
KNCC_GBM0035,GSTM3,0.1043630737988715,0.1879548595322717,0.0835917857334002,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,7.996102968903706
KNCC_GBM0035,ITM2C,0.2174168741832974,0.1130467301908114,-0.10437014399248598,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.194318050685694
KNCC_GBM0035,JUN,0.5188553322996894,0.0198161694340901,-0.4990391628655993,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,3.033991156762972
KNCC_GBM0035,P2RY12,-0.0123842925945404,0.2922580715370804,0.30464236413162077,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.1656053049756774
KNCC_GBM0035,RHOB,0.0069621948033471,0.6020981077413269,0.5951359129379797,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,10.154224341111645
KNCC_GBM0035,SIGLEC8,-0.110900822951195,0.2619696595107865,0.3728704824619815,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,4.1499268126636695
KNCC_GBM0035,USP53,0.1361486565452625,0.0055325390601334,-0.1306161174851291,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.8098855597332493
KNCC_GBM0036,CTTNBP2,0.2659487110564489,-0.0448593175467254,-0.3108080286031743,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.882614258753294
KNCC_GBM0036,FOLR2,-0.6728143519936738,-0.1447222689347599,0.5280920830589139,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.066616904696678
KNCC_GBM0036,GSTM3,0.2101456346077166,1.062822215496182,0.8526765808884653,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.090373828286303
KNCC_GBM0036,ITM2C,0.1053223416194207,0.344891332488828,0.23956899086940728,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.17406524880227
KNCC_GBM0036,JUN,-0.0092231306134513,0.5986561188529517,0.6078792494664029,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.9536765160274685
KNCC_GBM0036,P2RY12,-0.2532169048872945,1.1034646145546436,1.3566815194419382,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.1557774058404133
KNCC_GBM0036,P2RY13,-0.186088369031142,0.6973666535873397,0.8834550226184817,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,-0.03262103145955688
KNCC_GBM0036,RHOB,0.116174041883019,0.2326392948101421,0.11646525292712309,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,10.049379241749529
KNCC_GBM0036,SIGLEC8,-0.3188230961351637,1.5166505861726547,1.8354736823078184,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,3.9493454241790635
KNCC_GBM0036,USP53,0.1541964924720552,0.2264166912688213,0.07222019879676611,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,2.02366964583927
KNCC_GBM0037,CTTNBP2,-0.3803318692549829,0.2033422132694607,0.5836740825244436,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,6.023626487183252
KNCC_GBM0037,FOLR2,-0.0757267607049336,0.4353274804526553,0.5110542411575889,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,8.895281806922062
KNCC_GBM0037,GSTM3,-0.7130418578498452,0.6603911003448562,1.3734329581947013,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.000771899341528
KNCC_GBM0037,ITM2C,-0.2937395448173807,0.2357945971366377,0.5295341419540184,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,4.989721537985295
KNCC_GBM0037,JUN,0.862734325661593,-0.6890679918565527,-1.5518023175181457,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.826998701815891
KNCC_GBM0037,P2RY12,-0.8081524452240236,0.0274126140533489,0.8355650592773726,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.8905817779144848
