geo_accession,sample,assigned_state,tested_marker_set,n_cells,mean_marker_set_score
GSM8546889,GBM043,E-MDSC,MCG4,301,0.3540516839693255
GSM8546889,GBM043,E-MDSC,MCG5,301,0.9641592355549908
GSM8546889,GBM043,E-MDSC,MAC1,301,0.39932181499792785
GSM8546889,GBM043,E-MDSC,MAC2,301,0.582025748622702
GSM8546889,GBM043,E-MDSC,E-MDSC,301,1.5493877772403828
GSM8546889,GBM043,E-MDSC,M-MDSC,301,1.0811801407009416
GSM8546889,GBM043,M-MDSC,MCG1,125,0.9582578373500279
GSM8546889,GBM043,M-MDSC,MCG2,125,0.723064282623227
GSM8546889,GBM043,M-MDSC,MCG3,125,0.4552216648674012
GSM8546889,GBM043,M-MDSC,MCG4,125,0.6119118810365681
GSM8546889,GBM043,M-MDSC,MCG5,125,0.8857122335678492
GSM8546889,GBM043,M-MDSC,MAC1,125,0.3828007024997618
GSM8546889,GBM043,M-MDSC,MAC2,125,0.8025801250110974
GSM8546889,GBM043,M-MDSC,E-MDSC,125,1.122967551091674
GSM8546889,GBM043,M-MDSC,M-MDSC,125,1.5690612322126114
GSM8546891,GBM046,MCG1,MCG1,66,2.0808075943600453
GSM8546891,GBM046,MCG1,MCG2,66,1.7544869665574316
GSM8546891,GBM046,MCG1,MCG3,66,0.4232647076417884
GSM8546891,GBM046,MCG1,MCG4,66,0.8930890377514039
GSM8546891,GBM046,MCG1,MCG5,66,1.0921655592292245
GSM8546891,GBM046,MCG1,MAC1,66,0.6871556958574642
GSM8546891,GBM046,MCG1,MAC2,66,1.4378205020787063
GSM8546891,GBM046,MCG1,E-MDSC,66,0.8513399248033815
GSM8546891,GBM046,MCG1,M-MDSC,66,0.4573694319797285
GSM8546891,GBM046,MCG2,MCG1,262,0.9110239795875771
GSM8546891,GBM046,MCG2,MCG2,262,1.5255352108663143
GSM8546891,GBM046,MCG2,MCG3,262,0.42913834050760774
GSM8546891,GBM046,MCG2,MCG4,262,0.7017392143855055
GSM8546891,GBM046,MCG2,MCG5,262,0.6640472821606934
GSM8546891,GBM046,MCG2,MAC1,262,0.503708399783467
GSM8546891,GBM046,MCG2,MAC2,262,0.8876928164702437
GSM8546891,GBM046,MCG2,E-MDSC,262,0.49173823097990976
GSM8546891,GBM046,MCG2,M-MDSC,262,0.17307446975971907
GSM8546891,GBM046,MCG4,MCG1,79,0.2551120927618521
GSM8546891,GBM046,MCG4,MCG2,79,0.8687135795285144
GSM8546891,GBM046,MCG4,MCG3,79,0.8276235454238874
GSM8546891,GBM046,MCG4,MCG4,79,1.3229028787650607
GSM8546891,GBM046,MCG4,MCG5,79,0.8023579469635594
GSM8546891,GBM046,MCG4,MAC1,79,0.6851311562547648
GSM8546891,GBM046,MCG4,MAC2,79,0.7558381286634934
GSM8546891,GBM046,MCG4,E-MDSC,79,0.39162611945140086
GSM8546891,GBM046,MCG4,M-MDSC,79,0.04961299857761286
GSM8546891,GBM046,MCG5,MCG1,71,0.4372200994169085
GSM8546891,GBM046,MCG5,MCG2,71,1.1088020997587904
GSM8546891,GBM046,MCG5,MCG3,71,0.6961280986923195
GSM8546891,GBM046,MCG5,MCG4,71,1.1560945981491888
GSM8546891,GBM046,MCG5,MCG5,71,1.6229366667221587
GSM8546891,GBM046,MCG5,MAC1,71,0.7162462219917484
GSM8546891,GBM046,MCG5,MAC2,71,0.7311889699978004
GSM8546891,GBM046,MCG5,E-MDSC,71,0.8084484832106962
GSM8546891,GBM046,MCG5,M-MDSC,71,0.1748435087942741
GSM8546892,GBM048,MCG1,MCG1,393,1.892302571015547
GSM8546892,GBM048,MCG1,MCG2,393,1.5822284291527766
GSM8546892,GBM048,MCG1,MCG3,393,0.666896286994681
GSM8546892,GBM048,MCG1,MCG4,393,0.9637080426012175
GSM8546892,GBM048,MCG1,MCG5,393,1.024270405302195
GSM8546892,GBM048,MCG1,MAC1,393,0.6411821383529903
GSM8546892,GBM048,MCG1,MAC2,393,1.2620319435499112
GSM8546892,GBM048,MCG1,E-MDSC,393,0.8523763650176249
GSM8546892,GBM048,MCG1,M-MDSC,393,0.5718944607410202
GSM8546892,GBM048,MCG2,MCG1,418,1.3579811793150558
GSM8546892,GBM048,MCG2,MCG2,418,1.6646385216531274
GSM8546892,GBM048,MCG2,MCG3,418,0.6144861217228748
GSM8546892,GBM048,MCG2,MCG4,418,0.8800955631432867
GSM8546892,GBM048,MCG2,MCG5,418,1.0323643042503143
GSM8546892,GBM048,MCG2,MAC1,418,0.5757752503078983
GSM8546892,GBM048,MCG2,MAC2,418,0.9735491448069087
GSM8546892,GBM048,MCG2,E-MDSC,418,0.7639732049324954
GSM8546892,GBM048,MCG2,M-MDSC,418,0.4016431862009932
GSM8546892,GBM048,MCG3,MCG1,39,0.5803216418464144
GSM8546892,GBM048,MCG3,MCG2,39,0.7664014493864372
GSM8546892,GBM048,MCG3,MCG3,39,1.2945797277933575
GSM8546892,GBM048,MCG3,MCG4,39,0.9641474257834692
GSM8546892,GBM048,MCG3,MCG5,39,0.6566200224158748
GSM8546892,GBM048,MCG3,MAC1,39,0.536134686916742
GSM8546892,GBM048,MCG3,MAC2,39,0.530552223808745
GSM8546892,GBM048,MCG3,E-MDSC,39,0.340155650784043
GSM8546892,GBM048,MCG3,M-MDSC,39,0.11479319641441652
GSM8546892,GBM048,MCG4,MCG1,74,0.634099851402746
GSM8546892,GBM048,MCG4,MCG2,74,0.8309491623390663
GSM8546892,GBM048,MCG4,MCG3,74,1.0214385324662196
GSM8546892,GBM048,MCG4,MCG4,74,1.5242838639233502
